created_at,id,supplier_city,total_amount,total_tax_amount,payment_type,supplier_name,id,Record Count
"Aug 13, 2025, 7:34:37?PM",49e347c7-a471-4ac0-ad01-95a1c36526e5,Oshawa,295,0,null,City of Oshawa - Taxation Services,49e347c7-a471-4ac0-ad01-95a1c36526e5,1
"Sep 8, 2025, 3:29:21?AM",ca61ba66-ec05-4fdd-b24e-20014bb34308,null,82.96,null,null,Carters,ca61ba66-ec05-4fdd-b24e-20014bb34308,1
"Aug 13, 2025, 7:10:10?PM",e8c7c221-9b41-440c-a359-16354b322cc9,Oshawa,76.23,0.71,VISA,Walmart,e8c7c221-9b41-440c-a359-16354b322cc9,1
"Aug 13, 2025, 7:09:15?PM",4c70e3a7-cdd0-49c5-a2d9-1b596c386591,OSHAWA,56.61,1.53,Debit,PANCHVATI SUPERMARKET,4c70e3a7-cdd0-49c5-a2d9-1b596c386591,1
"Aug 16, 2025, 5:48:29?PM",a8f6e2c7-a20e-47d5-96da-b29b989825e8,Brooklin,71.7,8.25,VISA,THE HOME DEPOT,a8f6e2c7-a20e-47d5-96da-b29b989825e8,1
"Aug 14, 2025, 12:39:30?AM",63ceff8b-8e1f-4425-8344-ccfff5dae084,Oshawa,9,0,VISA,carter's | OSHKOSH,63ceff8b-8e1f-4425-8344-ccfff5dae084,1
"Aug 13, 2025, 6:56:40?PM",e999851c-a52f-4f1d-a861-d341fe35dc59,OSHAWA,91.14,11.13,DEBIT,Walmart,e999851c-a52f-4f1d-a861-d341fe35dc59,1
"Aug 24, 2025, 6:49:53?PM",da1045a0-7e65-444f-a14f-a6aece050c26,Central Square,29.95,0,VISA,Fastrac,da1045a0-7e65-444f-a14f-a6aece050c26,1
"Aug 24, 2025, 10:26:21?AM",fd73f078-cd40-41af-93a0-1d5e59eb6296,null,18.71,null,null,mcD,fd73f078-cd40-41af-93a0-1d5e59eb6296,1
"Sep 1, 2025, 5:38:48?PM",e6cb5f80-7cf2-4826-978a-96baff80c880,Oshawa,36.14,4.16,,Pakka Local Indian Kitch,e6cb5f80-7cf2-4826-978a-96baff80c880,1
"Aug 16, 2025, 11:18:25?AM",5c85fc26-f80c-4765-8108-82cec9180e1d,EAST WINDSOR,11.98,0,Credit Card,PATIDAR SUPERMARKET,5c85fc26-f80c-4765-8108-82cec9180e1d,1
"Sep 20, 2025, 6:15:54?PM",7c9128bb-44d9-4794-a959-ebaa7003736f,Oshawa,77.13,8.87,MASTERCARD,COSTCO WHOLESALE,7c9128bb-44d9-4794-a959-ebaa7003736f,1
"Sep 15, 2025, 11:15:26?PM",0029eb26-dfb5-4117-a118-fecf0baeda03,Oshawa,95.37,3.36,DEBIT,Walmart,0029eb26-dfb5-4117-a118-fecf0baeda03,1
"Sep 2, 2025, 9:33:16?PM",20c8a193-7ae5-487a-9a5a-f31d011fc0df,Whitby,64.98,7.48,,Smash Kitchen and Bar,20c8a193-7ae5-487a-9a5a-f31d011fc0df,1
"Aug 24, 2025, 1:56:40?AM",211c5501-5eb8-401d-9db9-26a040a72c3a,Peterborough,74.73,8.6,MASTERCARD,COSTCO WHOLESALE,211c5501-5eb8-401d-9db9-26a040a72c3a,1
"Aug 10, 2025, 6:14:09?PM",88126b55-5720-4d8c-9298-9f469360b5e5,Oshawa,61.59,7.09,DEBIT,DOLLARAMA,88126b55-5720-4d8c-9298-9f469360b5e5,1
